[13:51:34]	SUCCESS | Loaded texture "Assets/none.png"
[13:51:34]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[13:51:34]	SUCCESS | Vertex shader ->	Successfully compiled
[13:51:34]	SUCCESS | Fragment shader ->	Successfully compiled
[13:51:34]	SUCCESS | Shader program ->	Successfully linked
[13:51:34]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[13:51:34]	SUCCESS | Vertex shader ->	Successfully compiled
[13:51:34]	SUCCESS | Fragment shader ->	Successfully compiled
[13:51:34]	SUCCESS | Shader program ->	Successfully linked
[13:51:34]	ERROR   | Failed to open file "".
[13:51:34]	INFO    | - Unloading scene
[13:51:34]	        |
[13:51:34]	        |------------------------------------------------------------------------
[13:51:34]	        |
[13:51:34]	ERROR   | Failed to load scene
[13:51:39]	INFO    | + Loading Game Object "BackGroung"
[13:51:39]	INFO    | +	 Adding transform data to new gameObject
[13:51:39]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[13:51:39]	SUCCESS | Vertex shader ->	Successfully compiled
[13:51:39]	SUCCESS | Fragment shader ->	Successfully compiled
[13:51:39]	SUCCESS | Shader program ->	Successfully linked
[13:51:39]	INFO    | +	 Adding Sprite to new gameObject
[13:51:39]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	INFO    | + Loading Game Object "Button_01"
[13:51:39]	INFO    | +	 Adding transform data to new gameObject
[13:51:39]	INFO    | +	 Adding Sprite to new gameObject
[13:51:39]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[13:51:39]	INFO    | +	 Adding button script to new gameObject
[13:51:39]	INFO    | +	 Adding box collider 2D to new gameObject
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	INFO    | + Loading Game Object "Button_02"
[13:51:39]	INFO    | +	 Adding transform data to new gameObject
[13:51:39]	INFO    | +	 Adding Sprite to new gameObject
[13:51:39]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[13:51:39]	INFO    | +	 Adding button script to new gameObject
[13:51:39]	INFO    | +	 Adding box collider 2D to new gameObject
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	INFO    | + Loading Game Object "Button_03"
[13:51:39]	INFO    | +	 Adding transform data to new gameObject
[13:51:39]	INFO    | +	 Adding Sprite to new gameObject
[13:51:39]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[13:51:39]	INFO    | +	 Adding button script to new gameObject
[13:51:39]	INFO    | +	 Adding box collider 2D to new gameObject
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	INFO    | + Loading Game Object "Loading"
[13:51:39]	INFO    | +	 Adding transform data to new gameObject
[13:51:39]	INFO    | +	 Adding Sprite to new gameObject
[13:51:39]	SUCCESS | Loaded texture "Assets/Loading.png"
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	INFO    | + Loading Game Object "Loading"
[13:51:39]	INFO    | +	 Adding transform data to new gameObject
[13:51:39]	INFO    | +	 Adding Sprite to new gameObject
[13:51:39]	SUCCESS | Loaded texture "Assets/Loading.png"
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	INFO    | +	 Transform parent found
[13:51:39]	INFO    | +	 Transform parent found
[13:51:39]	        |
[13:51:39]	        |------------------------------------------------------------------------
[13:51:39]	        |
[13:51:39]	SUCCESS | Successfully loaded a new scene
[13:51:40]	INFO    | + Loading Game Object "PlatformGround"
[13:51:40]	INFO    | +	 Adding transform data to new gameObject
[13:51:40]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[13:51:40]	SUCCESS | Vertex shader ->	Successfully compiled
[13:51:41]	ERROR   | FRAGMENT SHADER ->	COMPILATION FAILED
[13:51:41]	INFO    | 0(241) : error C1104: too many parameters in function call
0(243) : error C1068: too much data in type constructor
0(243) : error C7011: implicit cast from "vec4" to "vec3"
0(243) : error C7011: implicit cast from "vec4" to "vec3"
0(243) : error C1035: assignment of incompatible types

[13:51:41]	ERROR   | SHADER PROGRAM ->	LINKING_FAILED
