[13:52:44]	SUCCESS | Loaded texture "Assets/none.png"
[13:52:44]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[13:52:44]	SUCCESS | Vertex shader ->	Successfully compiled
[13:52:44]	SUCCESS | Fragment shader ->	Successfully compiled
[13:52:44]	SUCCESS | Shader program ->	Successfully linked
[13:52:44]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[13:52:44]	SUCCESS | Vertex shader ->	Successfully compiled
[13:52:44]	SUCCESS | Fragment shader ->	Successfully compiled
[13:52:44]	SUCCESS | Shader program ->	Successfully linked
[13:52:44]	ERROR   | Failed to open file "".
[13:52:44]	INFO    | - Unloading scene
[13:52:44]	        |
[13:52:44]	        |------------------------------------------------------------------------
[13:52:44]	        |
[13:52:44]	ERROR   | Failed to load scene
[13:53:00]	INFO    | + Loading Game Object "BackGroung"
[13:53:00]	INFO    | +	 Adding transform data to new gameObject
[13:53:00]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[13:53:00]	SUCCESS | Vertex shader ->	Successfully compiled
[13:53:00]	SUCCESS | Fragment shader ->	Successfully compiled
[13:53:00]	SUCCESS | Shader program ->	Successfully linked
[13:53:00]	INFO    | +	 Adding Sprite to new gameObject
[13:53:00]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[13:53:00]	        |
[13:53:00]	        |------------------------------------------------------------------------
[13:53:00]	        |
[13:53:00]	INFO    | + Loading Game Object "Button_01"
[13:53:00]	INFO    | +	 Adding transform data to new gameObject
[13:53:00]	INFO    | +	 Adding Sprite to new gameObject
[13:53:00]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[13:53:00]	INFO    | +	 Adding button script to new gameObject
[13:53:00]	INFO    | +	 Adding box collider 2D to new gameObject
[13:53:00]	        |
[13:53:00]	        |------------------------------------------------------------------------
[13:53:00]	        |
[13:53:00]	INFO    | + Loading Game Object "Button_02"
[13:53:00]	INFO    | +	 Adding transform data to new gameObject
