[11:11:22]	INFO    | Creating GLFW Window
[11:11:24]	SUCCESS | Loaded texture "Assets/none.png"
[11:11:24]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:11:24]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:11:24]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:11:24]	SUCCESS | Shader program ->	Successfully linked
[11:11:24]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:11:24]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:11:24]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:11:24]	SUCCESS | Shader program ->	Successfully linked
[11:11:24]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[11:11:24]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:11:24]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:11:24]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:11:24]	SUCCESS | Shader program ->	Successfully linked
[11:11:24]	ERROR   | Failed to open file "".
[11:11:24]	INFO    | - Unloading scene
[11:11:24]	ERROR   | Failed to load scene
[11:11:24]	        |
[11:11:24]	        |------------------------------------------------------------------------
[11:11:24]	        |
[11:11:25]	INFO    | + Loading Game Object "BackGroung"
[11:11:25]	INFO    | +	 Adding transform data to new gameObject
[11:11:25]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:11:25]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:11:25]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:11:25]	SUCCESS | Shader program ->	Successfully linked
[11:11:25]	INFO    | +	 Adding Sprite to new gameObject
[11:11:25]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[11:11:25]	        |
[11:11:25]	        |------------------------------------------------------------------------
[11:11:25]	        |
[11:11:25]	INFO    | + Loading Game Object "Button_01"
[11:11:25]	INFO    | +	 Adding transform data to new gameObject
[11:11:25]	INFO    | +	 Adding Sprite to new gameObject
[11:11:25]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:11:25]	INFO    | +	 Adding button script to new gameObject
[11:11:25]	INFO    | +	 Adding box collider 2D to new gameObject
[11:11:25]	        |
[11:11:25]	        |------------------------------------------------------------------------
[11:11:25]	        |
[11:11:25]	INFO    | + Loading Game Object "Button_02"
[11:11:25]	INFO    | +	 Adding transform data to new gameObject
[11:11:25]	INFO    | +	 Adding Sprite to new gameObject
[11:11:25]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:11:25]	INFO    | +	 Adding button script to new gameObject
[11:11:25]	INFO    | +	 Adding box collider 2D to new gameObject
[11:11:25]	        |
[11:11:25]	        |------------------------------------------------------------------------
[11:11:25]	        |
[11:11:25]	INFO    | + Loading Game Object "Button_03"
[11:11:25]	INFO    | +	 Adding transform data to new gameObject
[11:11:25]	INFO    | +	 Adding Sprite to new gameObject
[11:11:25]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[11:11:25]	INFO    | +	 Adding button script to new gameObject
[11:11:25]	INFO    | +	 Adding box collider 2D to new gameObject
[11:11:25]	        |
[11:11:25]	        |------------------------------------------------------------------------
[11:11:25]	        |
[11:11:25]	INFO    | + Loading Game Object "Loading"
[11:11:25]	INFO    | +	 Adding transform data to new gameObject
[11:11:25]	INFO    | +	 Adding Sprite to new gameObject
[11:11:25]	SUCCESS | Loaded texture "Assets/Loading.png"
[11:11:25]	        |
[11:11:25]	        |------------------------------------------------------------------------
[11:11:26]	        |
[11:11:26]	INFO    | + Loading Game Object "Loading"
[11:11:26]	INFO    | +	 Adding transform data to new gameObject
[11:11:26]	INFO    | +	 Adding Sprite to new gameObject
[11:11:26]	        |
[11:11:26]	        |------------------------------------------------------------------------
[11:11:26]	        |
[11:11:26]	INFO    | +	 Transform parent found
[11:11:26]	INFO    | +	 Transform parent found
[11:11:26]	        |
[11:11:26]	        |------------------------------------------------------------------------
[11:11:26]	        |
[11:11:26]	SUCCESS | Successfully loaded a new scene
[11:11:26]	        |
[11:11:26]	        |------------------------------------------------------------------------
[11:11:26]	        |
[11:11:27]	INFO    | + Loading Game Object "PlatformGround"
[11:11:27]	INFO    | +	 Adding transform data to new gameObject
[11:11:27]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[11:11:27]	SUCCESS | Vertex Shader ->	Successfully compiled
