[13:10:44]	SUCCESS | Loaded texture "Assets/none.png"
[13:10:45]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[13:10:45]	SUCCESS | Vertex shader ->	Successfully compiled
[13:10:45]	SUCCESS | Fragment shader ->	Successfully compiled
[13:10:45]	SUCCESS | Shader program ->	Successfully linked
[13:10:45]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[13:10:45]	SUCCESS | Vertex shader ->	Successfully compiled
[13:10:45]	SUCCESS | Fragment shader ->	Successfully compiled
[13:10:45]	SUCCESS | Shader program ->	Successfully linked
[13:10:45]	ERROR   | Failed to open file "".
[13:10:45]	INFO    | - Unloading scene
[13:10:45]	        |
[13:10:45]	        |------------------------------------------------------------------------
[13:10:45]	        |
[13:10:45]	ERROR   | Failed to load scene
[13:10:51]	INFO    | + Loading Game Object "BackGroung"
[13:10:51]	INFO    | +	 Adding transform data to new gameObject
[13:10:51]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[13:10:51]	SUCCESS | Vertex shader ->	Successfully compiled
[13:10:51]	SUCCESS | Fragment shader ->	Successfully compiled
[13:10:51]	SUCCESS | Shader program ->	Successfully linked
[13:10:51]	INFO    | +	 Adding Sprite to new gameObject
[13:10:51]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[13:10:51]	        |
[13:10:51]	        |------------------------------------------------------------------------
[13:10:51]	        |
[13:10:51]	INFO    | + Loading Game Object "Button_01"
[13:10:51]	INFO    | +	 Adding transform data to new gameObject
[13:10:51]	INFO    | +	 Adding Sprite to new gameObject
[13:10:51]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[13:10:51]	INFO    | +	 Adding button script to new gameObject
[13:10:51]	INFO    | +	 Adding box collider 2D to new gameObject
[13:10:51]	        |
[13:10:51]	        |------------------------------------------------------------------------
[13:10:51]	        |
[13:10:51]	INFO    | + Loading Game Object "Button_02"
[13:10:51]	INFO    | +	 Adding transform data to new gameObject
[13:10:51]	INFO    | +	 Adding Sprite to new gameObject
[13:10:51]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
