[11:02:39]	INFO    | Creating GLFW Window
[11:02:41]	SUCCESS | Loaded texture "Assets/none.png"
[11:02:41]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:02:41]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:02:41]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:02:41]	SUCCESS | Shader program ->	Successfully linked
[11:02:41]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:02:41]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:02:41]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:02:41]	SUCCESS | Shader program ->	Successfully linked
[11:02:41]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[11:02:44]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:02:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:02:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:02:44]	SUCCESS | Shader program ->	Successfully linked
[11:02:44]	INFO    | + Loading Game Object "Button_01"
[11:02:44]	INFO    | +	 Adding transform data to new gameObject
[11:02:44]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:02:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:02:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:02:44]	SUCCESS | Shader program ->	Successfully linked
[11:02:44]	INFO    | +	 Adding Sprite to new gameObject
[11:02:44]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:02:44]	INFO    | +	 Adding button script to new gameObject
[11:02:44]	INFO    | +	 Adding box collider 2D to new gameObject
[11:02:44]	        |
[11:02:44]	        |------------------------------------------------------------------------
[11:02:44]	        |
[11:02:44]	INFO    | + Loading Game Object "Button_02"
[11:02:44]	INFO    | +	 Adding transform data to new gameObject
[11:02:44]	INFO    | +	 Adding Sprite to new gameObject
[11:02:44]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[11:02:44]	INFO    | +	 Adding button script to new gameObject
[11:02:44]	INFO    | +	 Adding box collider 2D to new gameObject
[11:02:44]	        |
[11:02:44]	        |------------------------------------------------------------------------
[11:02:44]	        |
[11:02:44]	INFO    | + Loading Game Object "Button_03"
[11:02:44]	INFO    | +	 Adding transform data to new gameObject
[11:02:44]	INFO    | +	 Adding Sprite to new gameObject
[11:02:44]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:02:44]	INFO    | +	 Adding button script to new gameObject
[11:02:44]	INFO    | +	 Adding box collider 2D to new gameObject
[11:02:44]	        |
[11:02:44]	        |------------------------------------------------------------------------
[11:02:44]	        |
[11:02:44]	INFO    | + Loading Game Object "Button_04"
