[09:39:39]	SUCCESS | Loaded texture "Assets/none.png"
[09:39:39]	ERROR   | Failed to open file "".
[09:39:39]	INFO    | - Unloading scene
[09:39:39]	        |
[09:39:39]	        |------------------------------------------------------------------------
[09:39:39]	        |
[09:39:39]	ERROR   | Failed to load scene
[09:40:02]	INFO    | + Loading Game Object "Platform"
[09:40:02]	INFO    | +	 Adding transform data to new gameObject
[09:40:02]	INFO    | +	 Adding box collider 3D to new gameObject
[09:40:02]	        |
[09:40:02]	        |------------------------------------------------------------------------
[09:40:02]	        |
[09:40:02]	INFO    | + Loading Game Object "PlatformGFX"
[09:40:02]	INFO    | +	 Adding transform data to new gameObject
[09:40:02]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[09:40:02]	SUCCESS | Vertex shader ->	Successfully compiled
[09:40:02]	SUCCESS | Fragment shader ->	Successfully compiled
[09:40:02]	SUCCESS | Shader program ->	Successfully linked
[09:40:02]	INFO    | +	 Adding Model to new gameObject
[09:40:02]	INFO    | +		 Loading new OBJ file
[09:40:02]	        |
[09:40:02]	        |------------------------------------------------------------------------
[09:40:02]	        |
[09:40:02]	SUCCESS | Loaded file "Assets/wallrock.obj"
[09:40:02]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[09:40:07]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[09:40:07]	        |
[09:40:07]	        |------------------------------------------------------------------------
[09:40:07]	        |
[09:40:07]	INFO    | + Loading Game Object "Platform2"
[09:40:07]	INFO    | +	 Adding transform data to new gameObject
[09:40:07]	INFO    | +	 Adding box collider 3D to new gameObject
[09:40:07]	        |
[09:40:07]	        |------------------------------------------------------------------------
[09:40:07]	        |
[09:40:07]	INFO    | + Loading Game Object "PlatformGFX2"
[09:40:07]	INFO    | +	 Adding transform data to new gameObject
[09:40:07]	INFO    | +	 Adding Model to new gameObject
[09:40:07]	        |
[09:40:07]	        |------------------------------------------------------------------------
[09:40:07]	        |
[09:40:07]	        |
[09:40:07]	        |------------------------------------------------------------------------
[09:40:07]	        |
[09:40:07]	INFO    | + Loading Game Object "Platform3"
[09:40:07]	INFO    | +	 Adding transform data to new gameObject
[09:40:07]	INFO    | +	 Adding box collider 3D to new gameObject
[09:40:07]	        |
[09:40:07]	        |------------------------------------------------------------------------
[09:40:07]	        |
[09:40:07]	INFO    | + Loading Game Object "PlatformGFX3"
[09:40:07]	INFO    | +	 Adding transform data to new gameObject
[09:40:07]	INFO    | +	 Adding Model to new gameObject
[09:40:07]	INFO    | +		 Loading new OBJ file
[09:40:07]	        |
