[14:44:41]	SUCCESS | Loaded texture "Assets/none.png"
[14:44:41]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[14:44:41]	SUCCESS | Vertex shader ->	Successfully compiled
[14:44:41]	SUCCESS | Fragment shader ->	Successfully compiled
[14:44:41]	SUCCESS | Shader program ->	Successfully linked
[14:44:41]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[14:44:41]	SUCCESS | Vertex shader ->	Successfully compiled
[14:44:41]	SUCCESS | Fragment shader ->	Successfully compiled
[14:44:41]	SUCCESS | Shader program ->	Successfully linked
[14:44:41]	ERROR   | Failed to open file "".
[14:44:41]	INFO    | - Unloading scene
[14:44:41]	        |
[14:44:41]	        |------------------------------------------------------------------------
[14:44:41]	        |
[14:44:41]	ERROR   | Failed to load scene
[14:44:44]	INFO    | + Loading Game Object "BackGroung"
[14:44:44]	INFO    | +	 Adding transform data to new gameObject
[14:44:44]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[14:44:44]	SUCCESS | Vertex shader ->	Successfully compiled
[14:44:44]	SUCCESS | Fragment shader ->	Successfully compiled
[14:44:44]	SUCCESS | Shader program ->	Successfully linked
[14:44:44]	INFO    | +	 Adding Sprite to new gameObject
[14:44:44]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	INFO    | + Loading Game Object "Button_01"
[14:44:44]	INFO    | +	 Adding transform data to new gameObject
[14:44:44]	INFO    | +	 Adding Sprite to new gameObject
[14:44:44]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[14:44:44]	INFO    | +	 Adding button script to new gameObject
[14:44:44]	INFO    | +	 Adding box collider 2D to new gameObject
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	INFO    | + Loading Game Object "Button_02"
[14:44:44]	INFO    | +	 Adding transform data to new gameObject
[14:44:44]	INFO    | +	 Adding Sprite to new gameObject
[14:44:44]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[14:44:44]	INFO    | +	 Adding button script to new gameObject
[14:44:44]	INFO    | +	 Adding box collider 2D to new gameObject
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	INFO    | + Loading Game Object "Button_03"
[14:44:44]	INFO    | +	 Adding transform data to new gameObject
[14:44:44]	INFO    | +	 Adding Sprite to new gameObject
[14:44:44]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[14:44:44]	INFO    | +	 Adding button script to new gameObject
[14:44:44]	INFO    | +	 Adding box collider 2D to new gameObject
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	INFO    | + Loading Game Object "Loading"
[14:44:44]	INFO    | +	 Adding transform data to new gameObject
[14:44:44]	INFO    | +	 Adding Sprite to new gameObject
[14:44:44]	SUCCESS | Loaded texture "Assets/Loading.png"
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	INFO    | + Loading Game Object "Loading"
[14:44:44]	INFO    | +	 Adding transform data to new gameObject
[14:44:44]	INFO    | +	 Adding Sprite to new gameObject
[14:44:44]	SUCCESS | Loaded texture "Assets/Loading.png"
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	INFO    | +	 Transform parent found
[14:44:44]	INFO    | +	 Transform parent found
[14:44:44]	        |
[14:44:44]	        |------------------------------------------------------------------------
[14:44:44]	        |
[14:44:44]	SUCCESS | Successfully loaded a new scene
[14:44:45]	INFO    | + Loading Game Object "PlatformGround"
[14:44:45]	INFO    | +	 Adding transform data to new gameObject
[14:44:45]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[14:44:45]	ERROR   | VERTEX SHADER ->	COMPILATION FAILED
[14:44:45]	INFO    | 0(33) : error C1115: unable to find compatible overloaded function "transpose(vec3, vec3, vec3)"

[14:44:45]	SUCCESS | Fragment shader ->	Successfully compiled
[14:44:45]	ERROR   | SHADER PROGRAM ->	LINKING_FAILED
[14:44:45]	INFO    | Vertex info
-----------
0(33) : error C1115: unable to find compatible overloaded function "transpose(vec3, vec3, vec3)"
(0) : error C2003: incompatible options for link

[14:44:45]	INFO    | +	 Adding Model to new gameObject
[14:44:45]	INFO    | +		 Loading new OBJ file
[14:44:45]	        |
[14:44:45]	        |------------------------------------------------------------------------
[14:44:45]	        |
[14:44:45]	SUCCESS | Loaded file "Assets/wallrock.obj"
[14:44:45]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[14:44:51]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[14:44:51]	SUCCESS | Loaded file "Assets/dirt.mtl"
[14:44:54]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[14:44:54]	INFO    | +	 Adding box collider 3D to new gameObject
[14:44:54]	        |
[14:44:54]	        |------------------------------------------------------------------------
[14:44:54]	        |
[14:44:54]	INFO    | + Loading Game Object "Platform2"
[14:44:54]	INFO    | +	 Adding transform data to new gameObject
[14:44:54]	INFO    | +	 Adding Model to new gameObject
[14:44:54]	        |
[14:44:54]	        |------------------------------------------------------------------------
[14:44:54]	        |
[14:44:54]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[14:44:59]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[14:44:59]	INFO    | +	 Adding box collider 3D to new gameObject
[14:44:59]	        |
[14:44:59]	        |------------------------------------------------------------------------
[14:44:59]	        |
[14:44:59]	INFO    | + Loading Game Object "Platform3"
[14:44:59]	INFO    | +	 Adding transform data to new gameObject
[14:44:59]	INFO    | +	 Adding Model to new gameObject
[14:44:59]	INFO    | +		 Loading new OBJ file
[14:44:59]	        |
[14:44:59]	        |------------------------------------------------------------------------
[14:44:59]	        |
[14:44:59]	SUCCESS | Loaded file "Assets/dirt.obj"
[14:44:59]	SUCCESS | Loaded file "Assets/dirt.mtl"
[14:45:01]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[14:45:01]	INFO    | +	 Adding box collider 3D to new gameObject
[14:45:01]	        |
[14:45:01]	        |------------------------------------------------------------------------
[14:45:01]	        |
[14:45:01]	INFO    | + Loading Game Object "Platform4"
[14:45:01]	INFO    | +	 Adding transform data to new gameObject
[14:45:01]	INFO    | +	 Adding Model to new gameObject
[14:45:01]	        |
[14:45:01]	        |------------------------------------------------------------------------
[14:45:01]	        |
[14:45:01]	INFO    | +	 Adding box collider 3D to new gameObject
[14:45:01]	        |
[14:45:01]	        |------------------------------------------------------------------------
