[10:16:16]	SUCCESS | Loaded texture "Assets/none.png"
[10:16:17]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[10:16:17]	SUCCESS | Vertex shader ->	Successfully compiled
[10:16:17]	SUCCESS | Fragment shader ->	Successfully compiled
[10:16:17]	SUCCESS | Shader program ->	Successfully linked
[10:16:17]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[10:16:17]	SUCCESS | Vertex shader ->	Successfully compiled
[10:16:17]	SUCCESS | Fragment shader ->	Successfully compiled
[10:16:17]	SUCCESS | Shader program ->	Successfully linked
[10:16:17]	ERROR   | Failed to open file "".
[10:16:17]	INFO    | - Unloading scene
[10:16:17]	        |
[10:16:17]	        |------------------------------------------------------------------------
[10:16:17]	        |
[10:16:17]	ERROR   | Failed to load scene
[10:20:36]	INFO    | + Loading Game Object "BackGroung"
[10:20:36]	INFO    | +	 Adding transform data to new gameObject
[10:20:36]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[10:20:36]	SUCCESS | Vertex shader ->	Successfully compiled
[10:20:36]	SUCCESS | Fragment shader ->	Successfully compiled
[10:20:36]	SUCCESS | Shader program ->	Successfully linked
[10:20:36]	INFO    | +	 Adding Sprite to new gameObject
[10:20:36]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	INFO    | + Loading Game Object "Button_01"
[10:20:36]	INFO    | +	 Adding transform data to new gameObject
[10:20:36]	INFO    | +	 Adding Sprite to new gameObject
[10:20:36]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[10:20:36]	INFO    | +	 Adding button script to new gameObject
[10:20:36]	INFO    | +	 Adding box collider 2D to new gameObject
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	INFO    | + Loading Game Object "Button_02"
[10:20:36]	INFO    | +	 Adding transform data to new gameObject
[10:20:36]	INFO    | +	 Adding Sprite to new gameObject
[10:20:36]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[10:20:36]	INFO    | +	 Adding button script to new gameObject
[10:20:36]	INFO    | +	 Adding box collider 2D to new gameObject
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	INFO    | + Loading Game Object "Button_03"
[10:20:36]	INFO    | +	 Adding transform data to new gameObject
[10:20:36]	INFO    | +	 Adding Sprite to new gameObject
[10:20:36]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[10:20:36]	INFO    | +	 Adding button script to new gameObject
[10:20:36]	INFO    | +	 Adding box collider 2D to new gameObject
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	INFO    | + Loading Game Object "Loading"
[10:20:36]	INFO    | +	 Adding transform data to new gameObject
[10:20:36]	INFO    | +	 Adding Sprite to new gameObject
[10:20:36]	SUCCESS | Loaded texture "Assets/Loading.png"
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	INFO    | + Loading Game Object "Loading"
[10:20:36]	INFO    | +	 Adding transform data to new gameObject
[10:20:36]	INFO    | +	 Adding Sprite to new gameObject
[10:20:36]	SUCCESS | Loaded texture "Assets/Loading.png"
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	INFO    | +	 Transform parent found
[10:20:36]	INFO    | +	 Transform parent found
[10:20:36]	        |
[10:20:36]	        |------------------------------------------------------------------------
[10:20:36]	        |
[10:20:36]	SUCCESS | Successfully loaded a new scene
[10:20:56]	INFO    | + Loading Game Object "PlatformGround"
[10:20:56]	INFO    | +	 Adding transform data to new gameObject
[10:20:56]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[10:20:56]	SUCCESS | Vertex shader ->	Successfully compiled
[10:20:56]	SUCCESS | Fragment shader ->	Successfully compiled
[10:20:57]	SUCCESS | Shader program ->	Successfully linked
[10:20:57]	INFO    | +	 Adding Model to new gameObject
[10:20:57]	INFO    | +		 Loading new OBJ file
[10:20:57]	        |
[10:20:57]	        |------------------------------------------------------------------------
[10:20:57]	        |
[10:20:57]	SUCCESS | Loaded file "Assets/wallrock.obj"
[10:20:57]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[10:21:02]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[10:21:02]	SUCCESS | Loaded file "Assets/dirt.mtl"
[10:21:05]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[10:21:05]	INFO    | +	 Adding box collider 3D to new gameObject
[10:21:05]	        |
[10:21:05]	        |------------------------------------------------------------------------
[10:21:05]	        |
[10:21:05]	INFO    | + Loading Game Object "Platform2"
[10:21:05]	INFO    | +	 Adding transform data to new gameObject
[10:21:05]	INFO    | +	 Adding box collider 3D to new gameObject
[10:21:05]	        |
[10:21:05]	        |------------------------------------------------------------------------
[10:21:05]	        |
[10:21:05]	INFO    | + Loading Game Object "PlatformGFX2"
