[15:22:47]	SUCCESS | Loaded texture "Assets/none.png"
[15:22:47]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[15:22:47]	SUCCESS | Vertex shader ->	Successfully compiled
[15:22:47]	SUCCESS | Fragment shader ->	Successfully compiled
[15:22:47]	SUCCESS | Shader program ->	Successfully linked
[15:22:47]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[15:22:47]	SUCCESS | Vertex shader ->	Successfully compiled
[15:22:47]	SUCCESS | Fragment shader ->	Successfully compiled
[15:22:47]	SUCCESS | Shader program ->	Successfully linked
[15:22:47]	ERROR   | Failed to open file "".
[15:22:47]	INFO    | - Unloading scene
[15:22:47]	        |
[15:22:47]	        |------------------------------------------------------------------------
[15:22:47]	        |
[15:22:47]	ERROR   | Failed to load scene
[15:22:49]	INFO    | + Loading Game Object "BackGroung"
[15:22:49]	INFO    | +	 Adding transform data to new gameObject
[15:22:49]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[15:22:49]	SUCCESS | Vertex shader ->	Successfully compiled
[15:22:49]	SUCCESS | Fragment shader ->	Successfully compiled
[15:22:49]	SUCCESS | Shader program ->	Successfully linked
[15:22:49]	INFO    | +	 Adding Sprite to new gameObject
[15:22:49]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	INFO    | + Loading Game Object "Button_01"
[15:22:49]	INFO    | +	 Adding transform data to new gameObject
[15:22:49]	INFO    | +	 Adding Sprite to new gameObject
[15:22:49]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[15:22:49]	INFO    | +	 Adding button script to new gameObject
[15:22:49]	INFO    | +	 Adding box collider 2D to new gameObject
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	INFO    | + Loading Game Object "Button_02"
[15:22:49]	INFO    | +	 Adding transform data to new gameObject
[15:22:49]	INFO    | +	 Adding Sprite to new gameObject
[15:22:49]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[15:22:49]	INFO    | +	 Adding button script to new gameObject
[15:22:49]	INFO    | +	 Adding box collider 2D to new gameObject
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	INFO    | + Loading Game Object "Button_03"
[15:22:49]	INFO    | +	 Adding transform data to new gameObject
[15:22:49]	INFO    | +	 Adding Sprite to new gameObject
[15:22:49]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[15:22:49]	INFO    | +	 Adding button script to new gameObject
[15:22:49]	INFO    | +	 Adding box collider 2D to new gameObject
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	INFO    | + Loading Game Object "Loading"
[15:22:49]	INFO    | +	 Adding transform data to new gameObject
[15:22:49]	INFO    | +	 Adding Sprite to new gameObject
[15:22:49]	SUCCESS | Loaded texture "Assets/Loading.png"
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	INFO    | + Loading Game Object "Loading"
[15:22:49]	INFO    | +	 Adding transform data to new gameObject
[15:22:49]	INFO    | +	 Adding Sprite to new gameObject
[15:22:49]	SUCCESS | Loaded texture "Assets/Loading.png"
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	INFO    | +	 Transform parent found
[15:22:49]	INFO    | +	 Transform parent found
[15:22:49]	        |
[15:22:49]	        |------------------------------------------------------------------------
[15:22:49]	        |
[15:22:49]	SUCCESS | Successfully loaded a new scene
[15:22:50]	INFO    | + Loading Game Object "PlatformGround"
[15:22:50]	INFO    | +	 Adding transform data to new gameObject
[15:22:50]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[15:22:50]	SUCCESS | Vertex shader ->	Successfully compiled
[15:22:50]	SUCCESS | Fragment shader ->	Successfully compiled
[15:22:50]	SUCCESS | Shader program ->	Successfully linked
[15:22:50]	INFO    | +	 Adding Model to new gameObject
