[13:41:37]	INFO    | Creating GLFW Window
[13:41:40]	SUCCESS | Loaded texture "Assets/none.png"
[13:41:40]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[13:41:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:41:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:41:40]	SUCCESS | Shader program ->	Successfully linked
[13:41:40]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[13:41:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:41:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:41:40]	SUCCESS | Shader program ->	Successfully linked
[13:41:40]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[13:41:40]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[13:41:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:41:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:41:40]	SUCCESS | Shader program ->	Successfully linked
[13:41:40]	ERROR   | Failed to open file "".
[13:41:40]	INFO    | - Unloading scene
[13:41:40]	ERROR   | Failed to load scene
[13:41:40]	        |
[13:41:40]	        |------------------------------------------------------------------------
[13:41:40]	        |
[13:41:41]	INFO    | + Loading Game Object "BackGroung"
[13:41:41]	INFO    | +	 Adding transform data to new gameObject
[13:41:41]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[13:41:41]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:41:41]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:41:41]	SUCCESS | Shader program ->	Successfully linked
[13:41:41]	INFO    | +	 Adding Sprite to new gameObject
[13:41:41]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	INFO    | + Loading Game Object "Button_01"
[13:41:41]	INFO    | +	 Adding transform data to new gameObject
[13:41:41]	INFO    | +	 Adding Sprite to new gameObject
[13:41:41]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[13:41:41]	INFO    | +	 Adding button script to new gameObject
[13:41:41]	INFO    | +	 Adding box collider 2D to new gameObject
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	INFO    | + Loading Game Object "Button_02"
[13:41:41]	INFO    | +	 Adding transform data to new gameObject
[13:41:41]	INFO    | +	 Adding Sprite to new gameObject
[13:41:41]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[13:41:41]	INFO    | +	 Adding button script to new gameObject
[13:41:41]	INFO    | +	 Adding box collider 2D to new gameObject
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	INFO    | + Loading Game Object "Button_03"
[13:41:41]	INFO    | +	 Adding transform data to new gameObject
[13:41:41]	INFO    | +	 Adding Sprite to new gameObject
[13:41:41]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[13:41:41]	INFO    | +	 Adding button script to new gameObject
[13:41:41]	INFO    | +	 Adding box collider 2D to new gameObject
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	INFO    | + Loading Game Object "Loading"
[13:41:41]	INFO    | +	 Adding transform data to new gameObject
[13:41:41]	INFO    | +	 Adding Sprite to new gameObject
[13:41:41]	SUCCESS | Loaded texture "Assets/Loading.png"
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	INFO    | + Loading Game Object "Loading"
[13:41:41]	INFO    | +	 Adding transform data to new gameObject
[13:41:41]	INFO    | +	 Adding Sprite to new gameObject
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	INFO    | +	 Transform parent found
[13:41:41]	INFO    | +	 Transform parent found
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:41]	SUCCESS | Successfully loaded a new scene
[13:41:41]	        |
[13:41:41]	        |------------------------------------------------------------------------
[13:41:41]	        |
[13:41:42]	INFO    | + Loading Game Object "PlatformGround"
[13:41:42]	INFO    | +	 Adding transform data to new gameObject
[13:41:42]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[13:41:42]	SUCCESS | Vertex Shader ->	Successfully compiled
[13:41:42]	SUCCESS | Fragment Shader ->	Successfully compiled
[13:41:42]	SUCCESS | Shader program ->	Successfully linked
[13:41:42]	INFO    | +	 Adding Model to new gameObject
[13:41:42]	INFO    | +		 Loading new OBJ file
[13:41:42]	        |
[13:41:42]	        |------------------------------------------------------------------------
[13:41:42]	        |
[13:41:42]	SUCCESS | Loaded file "Assets/wallrock.obj"
[13:41:42]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[13:41:47]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[13:41:47]	SUCCESS | Loaded file "Assets/dirt.mtl"
[13:41:50]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[13:41:50]	INFO    | +	 Adding box collider 3D to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | + Loading Game Object "Platform2"
[13:41:50]	INFO    | +	 Adding transform data to new gameObject
[13:41:50]	INFO    | +	 Adding Model to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[13:41:50]	INFO    | +	 Adding box collider 3D to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | + Loading Game Object "Platform3"
[13:41:50]	INFO    | +	 Adding transform data to new gameObject
[13:41:50]	INFO    | +	 Adding Model to new gameObject
[13:41:50]	INFO    | +		 Loading new OBJ file
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	SUCCESS | Loaded file "Assets/dirt.obj"
[13:41:50]	SUCCESS | Loaded file "Assets/dirt.mtl"
[13:41:50]	INFO    | +	 Adding box collider 3D to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | + Loading Game Object "Platform4"
[13:41:50]	INFO    | +	 Adding transform data to new gameObject
[13:41:50]	INFO    | +	 Adding Model to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | +	 Adding box collider 3D to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | + Loading Game Object "Platform5"
[13:41:50]	INFO    | +	 Adding transform data to new gameObject
[13:41:50]	INFO    | +	 Adding Model to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | +	 Adding box collider 3D to new gameObject
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	INFO    | + Loading Game Object "Wall_SciFi_01"
[13:41:50]	INFO    | +	 Adding transform data to new gameObject
[13:41:50]	INFO    | +	 Adding Model to new gameObject
[13:41:50]	INFO    | +		 Loading new OBJ file
[13:41:50]	        |
[13:41:50]	        |------------------------------------------------------------------------
[13:41:50]	        |
[13:41:50]	SUCCESS | Loaded file "Assets/scifi_01.obj"
[13:41:50]	SUCCESS | Loaded file "Assets/scifi_01.mtl"
[13:41:57]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_albedo.png"
[13:42:03]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Scifi_Panel_4K_normal.png"
[13:42:03]	SUCCESS | Loaded file "Assets/scifi_01.mtl"
[13:42:03]	INFO    | +	 Adding box collider 3D to new gameObject
[13:42:03]	        |
[13:42:03]	        |------------------------------------------------------------------------
[13:42:03]	        |
[13:42:03]	INFO    | + Loading Game Object "Wall_SciFi_02"
[13:42:03]	INFO    | +	 Adding transform data to new gameObject
[13:42:03]	INFO    | +	 Adding Model to new gameObject
[13:42:03]	INFO    | +		 Loading new OBJ file
[13:42:03]	        |
[13:42:03]	        |------------------------------------------------------------------------
[13:42:03]	        |
[13:42:03]	SUCCESS | Loaded file "Assets/scifi_02.obj"
[13:42:03]	SUCCESS | Loaded file "Assets/scifi_02.mtl"
[13:42:04]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Fabric_1K_albedo.png"
[13:42:04]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Fabric_1K_normal.png"
[13:42:04]	SUCCESS | Loaded file "Assets/scifi_02.mtl"
[13:42:04]	INFO    | +	 Adding box collider 3D to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Player"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding player script to new gameObject
[13:42:04]	INFO    | +	 Adding light to new gameObject
[13:42:04]	INFO    | +	 Adding sphere collider 3D to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "PlayerGFX"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding Model to new gameObject
[13:42:04]	INFO    | +		 Loading new OBJ file
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	SUCCESS | Loaded file "Assets/Shapes/sphere.obj"
[13:42:04]	SUCCESS | Loaded file "Assets/Shapes/sphere.mtl"
[13:42:04]	SUCCESS | Loaded file "Assets/Shapes/sphere.mtl"
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Main_Camera"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding camera to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Light_01"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding light to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Light_02"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding light to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Light_03"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding light to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "BackGroungPauseMenu"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding Sprite to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Button_01"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding Sprite to new gameObject
[13:42:04]	SUCCESS | Loaded texture "Assets/ButtonResume.png"
[13:42:04]	INFO    | +	 Adding button script to new gameObject
[13:42:04]	INFO    | +	 Adding box collider 2D to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Button_02"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding Sprite to new gameObject
[13:42:04]	SUCCESS | Loaded texture "Assets/ButtonSave.png"
[13:42:04]	INFO    | +	 Adding button script to new gameObject
[13:42:04]	INFO    | +	 Adding box collider 2D to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Button_03"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	INFO    | +	 Adding Sprite to new gameObject
[13:42:04]	SUCCESS | Loaded texture "Assets/ButtonBack.png"
[13:42:04]	INFO    | +	 Adding button script to new gameObject
[13:42:04]	INFO    | +	 Adding box collider 2D to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | + Loading Game Object "Menu"
[13:42:04]	INFO    | +	 Adding transform data to new gameObject
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	INFO    | +	 Transform parent found
[13:42:04]	INFO    | +	 Transform parent found
[13:42:04]	INFO    | +	 Transform parent found
[13:42:04]	INFO    | +	 Transform parent found
[13:42:04]	INFO    | +	 Transform parent found
[13:42:04]	INFO    | +	 Transform parent found
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:42:04]	SUCCESS | Successfully loaded a new scene
[13:42:04]	        |
[13:42:04]	        |------------------------------------------------------------------------
[13:42:04]	        |
[13:43:33]	INFO    | - Destroying Graph
[13:43:33]	INFO    | - Unloading scene
[13:43:33]	INFO    | -	 Destroying Object : Loading
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : Loading
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : Button_03
[13:43:33]	INFO    | -		Destroying Component Box Collider 2D
[13:43:33]	INFO    | -		Destroying Component Button
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : Button_02
[13:43:33]	INFO    | -		Destroying Component Box Collider 2D
[13:43:33]	INFO    | -		Destroying Component Button
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : Button_01
[13:43:33]	INFO    | -		Destroying Component Box Collider 2D
[13:43:33]	INFO    | -		Destroying Component Button
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : BackGroung
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | - Unloading scene
[13:43:33]	INFO    | -	 Destroying Object : Menu
[13:43:33]	INFO    | -		Destroying Component PauseMenu
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : Button_03
[13:43:33]	INFO    | -		Destroying Component Box Collider 2D
[13:43:33]	INFO    | -		Destroying Component Button
[13:43:33]	INFO    | -		Destroying Component Sprite
[13:43:33]	INFO    | -		Destroying Component Transform
[13:43:33]	        |
[13:43:33]	        |------------------------------------------------------------------------
[13:43:33]	        |
[13:43:33]	INFO    | -	 Destroying Object : Button_02
[13:43:33]	INFO    | -		Destroying Component Box Collider 2D
