[09:30:41]	SUCCESS | Loaded texture "Assets/none.png"
[09:30:41]	ERROR   | Failed to open file "".
[09:30:41]	INFO    | - Unloading scene
[09:30:41]	        |
[09:30:41]	        |------------------------------------------------------------------------
[09:30:41]	        |
[09:30:41]	ERROR   | Failed to load scene
[09:30:56]	INFO    | + Loading Game Object "Platform"
[09:30:56]	INFO    | +	 Adding transform data to new gameObject
[09:30:56]	INFO    | +	 Adding box collider 3D to new gameObject
[09:30:56]	        |
[09:30:56]	        |------------------------------------------------------------------------
[09:30:56]	        |
[09:30:56]	INFO    | + Loading Game Object "PlatformGFX"
[09:30:56]	INFO    | +	 Adding transform data to new gameObject
[09:30:56]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[09:30:56]	SUCCESS | Vertex shader ->	Successfully compiled
[09:30:56]	SUCCESS | Fragment shader ->	Successfully compiled
[09:30:56]	SUCCESS | Shader program ->	Successfully linked
[09:30:56]	INFO    | +	 Adding Model to new gameObject
[09:30:56]	INFO    | +		 Loading new OBJ file
[09:30:56]	        |
[09:30:56]	        |------------------------------------------------------------------------
[09:30:56]	        |
[09:30:56]	SUCCESS | Loaded file "Assets/wallrock.obj"
[09:30:56]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[09:31:01]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[09:31:01]	        |
[09:31:01]	        |------------------------------------------------------------------------
[09:31:01]	        |
[09:31:01]	INFO    | + Loading Game Object "Platform2"
[09:31:01]	INFO    | +	 Adding transform data to new gameObject
[09:31:01]	INFO    | +	 Adding box collider 3D to new gameObject
[09:31:01]	        |
[09:31:01]	        |------------------------------------------------------------------------
[09:31:01]	        |
[09:31:01]	INFO    | + Loading Game Object "PlatformGFX2"
[09:31:01]	INFO    | +	 Adding transform data to new gameObject
[09:31:01]	INFO    | +	 Adding Model to new gameObject
[09:31:01]	        |
[09:31:01]	        |------------------------------------------------------------------------
[09:31:01]	        |
[09:31:01]	        |
[09:31:01]	        |------------------------------------------------------------------------
[09:31:01]	        |
[09:31:01]	INFO    | + Loading Game Object "Platform3"
[09:31:01]	INFO    | +	 Adding transform data to new gameObject
[09:31:01]	INFO    | +	 Adding box collider 3D to new gameObject
[09:31:01]	        |
[09:31:01]	        |------------------------------------------------------------------------
[09:31:01]	        |
[09:31:01]	INFO    | + Loading Game Object "PlatformGFX3"
[09:31:01]	INFO    | +	 Adding transform data to new gameObject
[09:31:01]	INFO    | +	 Adding Model to new gameObject
[09:31:01]	INFO    | +		 Loading new OBJ file
[09:31:01]	        |
[09:31:01]	        |------------------------------------------------------------------------
[09:31:01]	        |
[09:31:01]	SUCCESS | Loaded file "Assets/dirt.obj"
[09:31:01]	SUCCESS | Loaded file "Assets/dirt.mtl"
[09:31:04]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[09:31:04]	        |
[09:31:04]	        |------------------------------------------------------------------------
