[11:17:48]	INFO    | Creating GLFW Window
[11:17:50]	SUCCESS | Loaded texture "Assets/none.png"
[11:17:50]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:17:50]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:17:50]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:17:50]	SUCCESS | Shader program ->	Successfully linked
[11:17:50]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:17:50]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:17:50]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:17:50]	SUCCESS | Shader program ->	Successfully linked
[11:17:50]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[11:17:50]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:17:50]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:17:50]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:17:50]	SUCCESS | Shader program ->	Successfully linked
[11:17:50]	ERROR   | Failed to open file "".
[11:17:50]	INFO    | - Unloading scene
[11:17:50]	ERROR   | Failed to load scene
[11:17:50]	        |
[11:17:50]	        |------------------------------------------------------------------------
[11:17:50]	        |
[11:17:52]	INFO    | + Loading Game Object "BackGroung"
[11:17:52]	INFO    | +	 Adding transform data to new gameObject
[11:17:52]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:17:52]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:17:52]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:17:52]	SUCCESS | Shader program ->	Successfully linked
[11:17:52]	INFO    | +	 Adding Sprite to new gameObject
[11:17:52]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[11:17:52]	        |
[11:17:52]	        |------------------------------------------------------------------------
[11:17:52]	        |
[11:17:52]	INFO    | + Loading Game Object "Button_01"
[11:17:52]	INFO    | +	 Adding transform data to new gameObject
[11:17:52]	INFO    | +	 Adding Sprite to new gameObject
[11:17:52]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:17:52]	INFO    | +	 Adding button script to new gameObject
[11:17:52]	INFO    | +	 Adding box collider 2D to new gameObject
[11:17:52]	        |
