[13:47:34]	SUCCESS | Loaded texture "Assets/none.png"
[13:47:34]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[13:47:34]	SUCCESS | Vertex shader ->	Successfully compiled
[13:47:34]	SUCCESS | Fragment shader ->	Successfully compiled
[13:47:34]	SUCCESS | Shader program ->	Successfully linked
[13:47:34]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[13:47:34]	SUCCESS | Vertex shader ->	Successfully compiled
[13:47:34]	SUCCESS | Fragment shader ->	Successfully compiled
[13:47:34]	SUCCESS | Shader program ->	Successfully linked
[13:47:34]	ERROR   | Failed to open file "".
[13:47:34]	INFO    | - Unloading scene
[13:47:34]	        |
[13:47:34]	        |------------------------------------------------------------------------
[13:47:34]	        |
[13:47:34]	ERROR   | Failed to load scene
[13:47:35]	INFO    | + Loading Game Object "BackGroung"
[13:47:35]	INFO    | +	 Adding transform data to new gameObject
[13:47:35]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[13:47:35]	SUCCESS | Vertex shader ->	Successfully compiled
[13:47:35]	SUCCESS | Fragment shader ->	Successfully compiled
[13:47:35]	SUCCESS | Shader program ->	Successfully linked
[13:47:35]	INFO    | +	 Adding Sprite to new gameObject
[13:47:35]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[13:47:35]	        |
[13:47:35]	        |------------------------------------------------------------------------
[13:47:35]	        |
[13:47:35]	INFO    | + Loading Game Object "Button_01"
[13:47:35]	INFO    | +	 Adding transform data to new gameObject
[13:47:35]	INFO    | +	 Adding Sprite to new gameObject
[13:47:35]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[13:47:35]	INFO    | +	 Adding button script to new gameObject
[13:47:35]	INFO    | +	 Adding box collider 2D to new gameObject
[13:47:35]	        |
[13:47:35]	        |------------------------------------------------------------------------
[13:47:35]	        |
[13:47:35]	INFO    | + Loading Game Object "Button_02"
[13:47:35]	INFO    | +	 Adding transform data to new gameObject
[13:47:35]	INFO    | +	 Adding Sprite to new gameObject
[13:47:35]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[13:47:35]	INFO    | +	 Adding button script to new gameObject
[13:47:35]	INFO    | +	 Adding box collider 2D to new gameObject
[13:47:35]	        |
[13:47:35]	        |------------------------------------------------------------------------
[13:47:35]	        |
[13:47:35]	INFO    | + Loading Game Object "Button_03"
[13:47:35]	INFO    | +	 Adding transform data to new gameObject
[13:47:35]	INFO    | +	 Adding Sprite to new gameObject
[13:47:35]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[13:47:35]	INFO    | +	 Adding button script to new gameObject
[13:47:35]	INFO    | +	 Adding box collider 2D to new gameObject
[13:47:35]	        |
[13:47:35]	        |------------------------------------------------------------------------
[13:47:35]	        |
[13:47:35]	INFO    | + Loading Game Object "Loading"
[13:47:35]	INFO    | +	 Adding transform data to new gameObject
[13:47:35]	INFO    | +	 Adding Sprite to new gameObject
[13:47:36]	SUCCESS | Loaded texture "Assets/Loading.png"
[13:47:36]	        |
[13:47:36]	        |------------------------------------------------------------------------
[13:47:36]	        |
[13:47:36]	INFO    | + Loading Game Object "Loading"
[13:47:36]	INFO    | +	 Adding transform data to new gameObject
[13:47:36]	INFO    | +	 Adding Sprite to new gameObject
[13:47:36]	SUCCESS | Loaded texture "Assets/Loading.png"
[13:47:36]	        |
[13:47:36]	        |------------------------------------------------------------------------
[13:47:36]	        |
[13:47:36]	INFO    | +	 Transform parent found
[13:47:36]	INFO    | +	 Transform parent found
[13:47:36]	        |
[13:47:36]	        |------------------------------------------------------------------------
[13:47:36]	        |
[13:47:36]	SUCCESS | Successfully loaded a new scene
[13:47:37]	INFO    | + Loading Game Object "PlatformGround"
[13:47:37]	INFO    | +	 Adding transform data to new gameObject
[13:47:37]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[13:47:37]	SUCCESS | Vertex shader ->	Successfully compiled
[13:47:38]	ERROR   | FRAGMENT SHADER ->	COMPILATION FAILED
[13:47:38]	INFO    | 0(241) : error C7011: implicit cast from "vec4" to "vec3"
0(243) : error C1068: too much data in type constructor
0(243) : error C7011: implicit cast from "vec4" to "vec3"
0(243) : error C1035: assignment of incompatible types

[13:47:38]	ERROR   | SHADER PROGRAM ->	LINKING_FAILED
[13:47:38]	INFO    | Fragment info
-------------
0(241) : error C7011: implicit cast from "vec4" to "vec3"
0(243) : error C1068: too much data in type constructor
0(243) : error C7011: implicit cast from "vec4" to "vec3"
0(243) : error C1035: assignment of incompatible types
(0) : error C2003: incompatible options for link

[13:47:38]	INFO    | +	 Adding Model to new gameObject
[13:47:38]	INFO    | +		 Loading new OBJ file
[13:47:38]	        |
[13:47:38]	        |------------------------------------------------------------------------
[13:47:38]	        |
[13:47:38]	SUCCESS | Loaded file "Assets/wallrock.obj"
[13:47:38]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[13:47:43]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[13:47:43]	SUCCESS | Loaded file "Assets/dirt.mtl"
[13:47:45]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[13:47:45]	INFO    | +	 Adding box collider 3D to new gameObject
[13:47:45]	        |
[13:47:45]	        |------------------------------------------------------------------------
[13:47:45]	        |
[13:47:45]	INFO    | + Loading Game Object "Platform2"
[13:47:45]	INFO    | +	 Adding transform data to new gameObject
[13:47:45]	INFO    | +	 Adding Model to new gameObject
[13:47:45]	        |
[13:47:45]	        |------------------------------------------------------------------------
[13:47:45]	        |
[13:47:45]	SUCCESS | Loaded file "Assets/wallrock.mtl"
[13:47:50]	SUCCESS | Loaded texture "Assets/wall_rock_basecolor.png"
[13:47:51]	INFO    | +	 Adding box collider 3D to new gameObject
[13:47:51]	        |
[13:47:51]	        |------------------------------------------------------------------------
[13:47:51]	        |
[13:47:51]	INFO    | + Loading Game Object "Platform3"
[13:47:51]	INFO    | +	 Adding transform data to new gameObject
[13:47:51]	INFO    | +	 Adding Model to new gameObject
[13:47:51]	INFO    | +		 Loading new OBJ file
[13:47:51]	        |
[13:47:51]	        |------------------------------------------------------------------------
[13:47:51]	        |
[13:47:51]	SUCCESS | Loaded file "Assets/dirt.obj"
[13:47:51]	SUCCESS | Loaded file "Assets/dirt.mtl"
[13:47:53]	SUCCESS | Loaded texture "Assets/Dirt_basecolor.png"
[13:47:53]	INFO    | +	 Adding box collider 3D to new gameObject
[13:47:53]	        |
[13:47:53]	        |------------------------------------------------------------------------
[13:47:53]	        |
[13:47:53]	INFO    | + Loading Game Object "Platform4"
[13:47:53]	INFO    | +	 Adding transform data to new gameObject
[13:47:53]	INFO    | +	 Adding Model to new gameObject
[13:47:53]	        |
[13:47:53]	        |------------------------------------------------------------------------
[13:47:53]	        |
[13:47:53]	INFO    | +	 Adding box collider 3D to new gameObject
[13:47:53]	        |
[13:47:53]	        |------------------------------------------------------------------------
[13:47:53]	        |
