[11:28:09]	INFO    | Creating GLFW Window
[11:28:11]	SUCCESS | Loaded texture "Assets/none.png"
[11:28:11]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:28:11]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:28:11]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:28:11]	SUCCESS | Shader program ->	Successfully linked
[11:28:11]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:28:11]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:28:11]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:28:11]	SUCCESS | Shader program ->	Successfully linked
[11:28:11]	SUCCESS | Opened file "Assets/defaultCubeMap.cubemap"
[11:28:14]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:28:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:28:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:28:14]	SUCCESS | Shader program ->	Successfully linked
[11:28:14]	INFO    | + Loading Game Object "Button_01"
[11:28:14]	INFO    | +	 Adding transform data to new gameObject
[11:28:14]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:28:14]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:28:14]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:28:14]	SUCCESS | Shader program ->	Successfully linked
[11:28:14]	INFO    | +	 Adding Sprite to new gameObject
[11:28:14]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:28:14]	INFO    | +	 Adding button script to new gameObject
[11:28:14]	INFO    | +	 Adding box collider 2D to new gameObject
[11:28:14]	        |
[11:28:14]	        |------------------------------------------------------------------------
[11:28:14]	        |
[11:28:14]	INFO    | + Loading Game Object "Button_02"
[11:28:14]	INFO    | +	 Adding transform data to new gameObject
[11:28:14]	INFO    | +	 Adding Sprite to new gameObject
[11:28:14]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[11:28:14]	INFO    | +	 Adding button script to new gameObject
[11:28:14]	INFO    | +	 Adding box collider 2D to new gameObject
[11:28:14]	        |
[11:28:14]	        |------------------------------------------------------------------------
[11:28:14]	        |
[11:28:14]	INFO    | + Loading Game Object "Button_03"
[11:28:14]	INFO    | +	 Adding transform data to new gameObject
[11:28:14]	INFO    | +	 Adding Sprite to new gameObject
[11:28:14]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:28:14]	INFO    | +	 Adding button script to new gameObject
[11:28:14]	INFO    | +	 Adding box collider 2D to new gameObject
[11:28:14]	        |
[11:28:14]	        |------------------------------------------------------------------------
[11:28:14]	        |
