[09:11:54]	INFO    | Creating GLFW Window
[09:11:57]	SUCCESS | Loaded texture "Assets/none.png"
[09:11:58]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[09:11:58]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:11:58]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:11:58]	SUCCESS | Shader program ->	Successfully linked
[09:11:58]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[09:11:58]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:11:58]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:11:58]	SUCCESS | Shader program ->	Successfully linked
[09:11:58]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[09:11:58]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[09:11:58]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:11:58]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:11:58]	SUCCESS | Shader program ->	Successfully linked
[09:11:58]	ERROR   | Failed to open file "".
[09:11:58]	INFO    | - Unloading scene
[09:11:58]	ERROR   | Failed to load scene
[09:11:58]	        |
[09:11:58]	        |------------------------------------------------------------------------
[09:11:58]	        |
[09:11:59]	INFO    | + Loading Game Object "BackGroung"
[09:11:59]	INFO    | +	 Adding transform data to new gameObject
[09:11:59]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[09:11:59]	SUCCESS | Vertex Shader ->	Successfully compiled
[09:11:59]	SUCCESS | Fragment Shader ->	Successfully compiled
[09:11:59]	SUCCESS | Shader program ->	Successfully linked
[09:11:59]	INFO    | +	 Adding Sprite to new gameObject
[09:11:59]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	INFO    | + Loading Game Object "Button_01"
[09:11:59]	INFO    | +	 Adding transform data to new gameObject
[09:11:59]	INFO    | +	 Adding Sprite to new gameObject
[09:11:59]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[09:11:59]	INFO    | +	 Adding button script to new gameObject
[09:11:59]	INFO    | +	 Adding box collider 2D to new gameObject
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	INFO    | + Loading Game Object "Button_02"
[09:11:59]	INFO    | +	 Adding transform data to new gameObject
[09:11:59]	INFO    | +	 Adding Sprite to new gameObject
[09:11:59]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[09:11:59]	INFO    | +	 Adding button script to new gameObject
[09:11:59]	INFO    | +	 Adding box collider 2D to new gameObject
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	INFO    | + Loading Game Object "Button_03"
[09:11:59]	INFO    | +	 Adding transform data to new gameObject
[09:11:59]	INFO    | +	 Adding Sprite to new gameObject
[09:11:59]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[09:11:59]	INFO    | +	 Adding button script to new gameObject
[09:11:59]	INFO    | +	 Adding box collider 2D to new gameObject
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	INFO    | + Loading Game Object "Loading"
[09:11:59]	INFO    | +	 Adding transform data to new gameObject
[09:11:59]	INFO    | +	 Adding Sprite to new gameObject
[09:11:59]	SUCCESS | Loaded texture "Assets/Loading.png"
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	INFO    | + Loading Game Object "Loading"
[09:11:59]	INFO    | +	 Adding transform data to new gameObject
[09:11:59]	INFO    | +	 Adding Sprite to new gameObject
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	INFO    | +	 Transform parent found
[09:11:59]	INFO    | +	 Transform parent found
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:11:59]	SUCCESS | Successfully loaded a new scene
[09:11:59]	        |
[09:11:59]	        |------------------------------------------------------------------------
[09:11:59]	        |
[09:12:00]	INFO    | + Loading Game Object "PlatformGround"
[09:12:00]	INFO    | +	 Adding transform data to new gameObject
