[11:52:01]	SUCCESS | Loaded texture "Assets/none.png"
[11:52:02]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:52:02]	SUCCESS | Vertex shader ->	Successfully compiled
[11:52:02]	SUCCESS | Fragment shader ->	Successfully compiled
[11:52:02]	SUCCESS | Shader program ->	Successfully linked
[11:52:02]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:52:02]	SUCCESS | Vertex shader ->	Successfully compiled
[11:52:02]	SUCCESS | Fragment shader ->	Successfully compiled
[11:52:02]	SUCCESS | Shader program ->	Successfully linked
[11:52:02]	ERROR   | Failed to open file "".
[11:52:02]	INFO    | - Unloading scene
[11:52:02]	        |
[11:52:02]	        |------------------------------------------------------------------------
[11:52:02]	        |
[11:52:02]	ERROR   | Failed to load scene
[11:52:03]	INFO    | + Loading Game Object "BackGroung"
[11:52:03]	INFO    | +	 Adding transform data to new gameObject
[11:52:03]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:52:03]	SUCCESS | Vertex shader ->	Successfully compiled
[11:52:03]	SUCCESS | Fragment shader ->	Successfully compiled
[11:52:03]	SUCCESS | Shader program ->	Successfully linked
[11:52:03]	INFO    | +	 Adding Sprite to new gameObject
[11:52:03]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[11:52:03]	        |
[11:52:03]	        |------------------------------------------------------------------------
[11:52:03]	        |
[11:52:03]	INFO    | + Loading Game Object "Button_01"
[11:52:03]	INFO    | +	 Adding transform data to new gameObject
[11:52:03]	INFO    | +	 Adding Sprite to new gameObject
[11:52:03]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:52:03]	INFO    | +	 Adding button script to new gameObject
[11:52:03]	INFO    | +	 Adding box collider 2D to new gameObject
[11:52:03]	        |
[11:52:03]	        |------------------------------------------------------------------------
[11:52:03]	        |
[11:52:03]	INFO    | + Loading Game Object "Button_02"
[11:52:03]	INFO    | +	 Adding transform data to new gameObject
[11:52:03]	INFO    | +	 Adding Sprite to new gameObject
[11:52:03]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:52:03]	INFO    | +	 Adding button script to new gameObject
[11:52:03]	INFO    | +	 Adding box collider 2D to new gameObject
[11:52:03]	        |
[11:52:03]	        |------------------------------------------------------------------------
[11:52:03]	        |
[11:52:03]	INFO    | + Loading Game Object "Button_03"
[11:52:03]	INFO    | +	 Adding transform data to new gameObject
[11:52:03]	INFO    | +	 Adding Sprite to new gameObject
[11:52:03]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[11:52:03]	INFO    | +	 Adding button script to new gameObject
[11:52:03]	INFO    | +	 Adding box collider 2D to new gameObject
[11:52:03]	        |
[11:52:03]	        |------------------------------------------------------------------------
[11:52:03]	        |
[11:52:03]	INFO    | + Loading Game Object "Loading"
[11:52:03]	INFO    | +	 Adding transform data to new gameObject
[11:52:03]	INFO    | +	 Adding Sprite to new gameObject
