[11:37:38]	INFO    | Creating GLFW Window
[11:37:40]	SUCCESS | Loaded texture "Assets/none.png"
[11:37:40]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[11:37:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Shader program ->	Successfully linked
[11:37:40]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[11:37:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Shader program ->	Successfully linked
[11:37:40]	ERROR   | Failed to open file "Assets/defaultCubeMap.cubemap"
[11:37:40]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[11:37:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Shader program ->	Successfully linked
[11:37:40]	INFO    | + Loading Game Object "BackGroung"
[11:37:40]	INFO    | +	 Adding transform data to new gameObject
[11:37:40]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[11:37:40]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:37:40]	SUCCESS | Shader program ->	Successfully linked
[11:37:40]	INFO    | +	 Adding Sprite to new gameObject
[11:37:40]	SUCCESS | Loaded texture "Assets/BlankSprite.png"
[11:37:40]	        |
[11:37:40]	        |------------------------------------------------------------------------
[11:37:40]	        |
[11:37:40]	INFO    | + Loading Game Object "Button_01"
[11:37:40]	INFO    | +	 Adding transform data to new gameObject
[11:37:40]	INFO    | +	 Adding Sprite to new gameObject
[11:37:41]	SUCCESS | Loaded texture "Assets/ButtonPlay.png"
[11:37:41]	INFO    | +	 Adding button script to new gameObject
[11:37:41]	INFO    | +	 Adding box collider 2D to new gameObject
[11:37:41]	        |
[11:37:41]	        |------------------------------------------------------------------------
[11:37:41]	        |
[11:37:41]	INFO    | + Loading Game Object "Button_02"
[11:37:41]	INFO    | +	 Adding transform data to new gameObject
[11:37:41]	INFO    | +	 Adding Sprite to new gameObject
[11:37:41]	SUCCESS | Loaded texture "Assets/ButtonEdit.png"
[11:37:41]	INFO    | +	 Adding button script to new gameObject
[11:37:41]	INFO    | +	 Adding box collider 2D to new gameObject
[11:37:41]	        |
[11:37:41]	        |------------------------------------------------------------------------
[11:37:41]	        |
[11:37:41]	INFO    | + Loading Game Object "Button_03"
[11:37:41]	INFO    | +	 Adding transform data to new gameObject
[11:37:41]	INFO    | +	 Adding Sprite to new gameObject
[11:37:41]	SUCCESS | Loaded texture "Assets/ButtonLoad.png"
[11:37:41]	INFO    | +	 Adding button script to new gameObject
[11:37:41]	INFO    | +	 Adding box collider 2D to new gameObject
[11:37:41]	        |
[11:37:41]	        |------------------------------------------------------------------------
[11:37:41]	        |
[11:37:41]	INFO    | + Loading Game Object "Button_04"
[11:37:41]	INFO    | +	 Adding transform data to new gameObject
[11:37:41]	INFO    | +	 Adding Sprite to new gameObject
[11:37:41]	SUCCESS | Loaded texture "Assets/ButtonQuit.png"
[11:37:41]	INFO    | +	 Adding button script to new gameObject
[11:37:41]	INFO    | +	 Adding box collider 2D to new gameObject
[11:37:41]	        |
[11:37:41]	        |------------------------------------------------------------------------
[11:37:41]	        |
[11:37:41]	        |
[11:37:41]	        |------------------------------------------------------------------------
[11:37:41]	        |
[11:37:41]	SUCCESS | Successfully loaded a new scene
[11:37:41]	        |
[11:37:41]	        |------------------------------------------------------------------------
[11:37:41]	        |
[11:37:44]	INFO    | + Loading Game Object "Wall_SciFi_01"
[11:37:44]	INFO    | +	 Adding transform data to new gameObject
[11:37:44]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[11:37:44]	SUCCESS | Vertex Shader ->	Successfully compiled
[11:37:44]	SUCCESS | Fragment Shader ->	Successfully compiled
[11:37:44]	SUCCESS | Shader program ->	Successfully linked
